"Account Code","Account Name (EN)","Account Name (AR)","Account Type","Parent Account","Parent Name",Level,"Posting / Non-Posting","Active / Inactive","Normal Balance","FS Line","Reporting Group","Cash / Bank","Control Account (subledger)","Counterparty Required","Advance Holder Required"
510017,"Direct Consumables","مستهلكات مباشرة",Expense,510000,"Direct Operating Costs",2,Posting,Active,Dr,PL-040,"Direct Operating Costs",,,,
510019,"Other Direct Operating Costs","تكاليف تشغيلية مباشرة أخرى",Expense,510000,"Direct Operating Costs",2,Posting,Active,Dr,PL-040,"Direct Operating Costs",,,,
610001,"Administrative Salaries","رواتب إدارية",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610002,"Wages & Temporary Labor","أجور وعمالة مؤقتة",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610003,"Professional Services","خدمات مهنية",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610004,"Fuel & Transportation","وقود ونقل",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610005,Communications,اتصالات,Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610006,"Office Expenses","مصروفات مكتبية",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610007,"Public Relations","علاقات عامة",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610008,"Facilitation Expenses","مصروفات تسهيلية",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610009,Hospitality,ضيافة,Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610010,"Legal Services","خدمات قانونية",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610011,"Audit & Accounting","تدقيق ومحاسبة",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610012,"Bank Charges","مصاريف مصرفية",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610013,Rent,إيجار,Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610014,Travel,سفر,Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610015,"Government Fees","رسوم حكومية",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
610016,"Depreciation Expense – Retained Assets","مصروف إهلاك الأصول المحتفظ بها",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-070,"Administrative Expenses",,,,
610017,"Amortization Expense – Concession Rights","مصروف إطفاء حقوق الامتياز",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-070,"Administrative Expenses",,,,
610019,"Approved Administrative & Legle Expenses","مصروفات إدارية قانونية",Expense,610000,"Administrative Expenses",2,Posting,Active,Dr,PL-060,"Administrative Expenses",,,,
